id,label_itc,taxon,device,start_datetime,end_datetime
10.0a5bb6f4.1594245600,10,Syrphidae,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.0a5bb6f4.1594850400,10,Syrphidae,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.15e612cd.1593036000,10,Syrphidae,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.15e612cd.1593640800,10,Syrphidae,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.15e612cd.1594245600,10,Syrphidae,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.15e612cd.1594850400,10,Syrphidae,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.1b74105a.1593036000,10,Syrphidae,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.1b74105a.1593640800,10,Syrphidae,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.1b74105a.1594245600,10,Syrphidae,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.1b74105a.1594850400,10,Syrphidae,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.398948ee.1593036000,10,Syrphidae,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.398948ee.1593640800,10,Syrphidae,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.398948ee.1594245600,10,Syrphidae,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.398948ee.1594850400,10,Syrphidae,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.5595c586.1593036000,10,Syrphidae,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.5595c586.1593640800,10,Syrphidae,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.5595c586.1594245600,10,Syrphidae,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.5595c586.1594850400,10,Syrphidae,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.5c173ff2.1593036000,10,Syrphidae,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.5c173ff2.1593640800,10,Syrphidae,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.5c173ff2.1594245600,10,Syrphidae,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.5c173ff2.1594850400,10,Syrphidae,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.d9699ed0.1593036000,10,Syrphidae,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.d9699ed0.1593640800,10,Syrphidae,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.d9699ed0.1594245600,10,Syrphidae,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.d9699ed0.1594850400,10,Syrphidae,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.f54ac578.1593036000,10,Syrphidae,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.f54ac578.1593640800,10,Syrphidae,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.f54ac578.1594245600,10,Syrphidae,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.f54ac578.1594850400,10,Syrphidae,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
10.f8d61a5c.1593036000,10,Syrphidae,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
10.f8d61a5c.1593640800,10,Syrphidae,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
10.f8d61a5c.1594245600,10,Syrphidae,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
10.f8d61a5c.1594850400,10,Syrphidae,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.08038ade.1593036000,11,A. rubi,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.08038ade.1593640800,11,A. rubi,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.08038ade.1594245600,11,A. rubi,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.08038ade.1594850400,11,A. rubi,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.0a5bb6f4.1593036000,11,A. rubi,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.0a5bb6f4.1593640800,11,A. rubi,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.0a5bb6f4.1594245600,11,A. rubi,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.0a5bb6f4.1594850400,11,A. rubi,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.15e612cd.1593036000,11,A. rubi,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.15e612cd.1593640800,11,A. rubi,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.15e612cd.1594245600,11,A. rubi,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.15e612cd.1594850400,11,A. rubi,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.1b74105a.1593036000,11,A. rubi,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.1b74105a.1593640800,11,A. rubi,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.1b74105a.1594245600,11,A. rubi,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.1b74105a.1594850400,11,A. rubi,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
